line_no,item_code,description,hsn_code,batch_number,expiry_date,quantity,uom,unit_value_eur,line_value_eur,net_weight_kg,days_to_expiry_as_of_2026_06_07,expiry_bucket
1,MOZS20030,"MOZECSEB PTCA BALLOON CATHETER, 2.00X30MM",90183920,MOZSAB24,2028-04-23,1,EA,71.00,71.00,0.260,686,Above 365 Days
2,MOZS22530,"MOZECSEB PTCA BALLOON CATHETER, 2.25X30MM",90183920,MOZSAB04,2028-01-27,1,EA,71.00,71.00,0.260,599,Above 365 Days
3,MOZS35020,"MOZECSEB PTCA BALLOON CATHETER, 3.50X20MM",90183920,MOZSAB03,2028-01-13,1,EA,71.00,71.00,0.260,585,Above 365 Days
4,MOZS35017,"MOZECSEB PTCA BALLOON CATHETER, 3.50X17MM",90183920,MOZSAB21,2028-04-10,1,EA,71.00,71.00,0.260,673,Above 365 Days
5,MOZS35014,"MOZECSEB PTCA BALLOON CATHETER, 3.50X14MM",90183920,MOZSAB21,2028-04-10,1,EA,71.00,71.00,0.260,673,Above 365 Days
6,MOZS25030,"MOZECSEB PTCA BALLOON CATHETER, 2.50X30MM",90183920,MOZSAB27,2028-05-09,1,EA,71.00,71.00,0.260,702,Above 365 Days
7,MOZS22525,"MOZECSEB PTCA BALLOON CATHETER, 2.25X25MM",90183920,MOZSAB04,2028-01-27,1,EA,71.00,71.00,0.260,599,Above 365 Days

